Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
root,111080000,71760000,39320000,65729437,5623818,406745,6116949,20946065,12256986
Basic cell groups and regions,104269365,71760000,32509365,65729437,5623818,406745,5172719,16694501,10642145
Cerebrum,42954307,25341736,17612571,21374196,3829654,137886,2681289,8644110,6287172
Cerebral cortex,36851649,22153353,14698296,19695432,2351291,106630,2133711,6885189,5679396
Cortical plate,35649755,21485755,14164000,19097897,2286513,101345,2056232,6527709,5580059
Isocortex,19845690,10273660,9572030,8966944,1242948,63768,1148184,4359847,4063999
Frontal pole cerebral cortex,44816,27742,17074,5398,22179,165,438,5886,10750
Frontal pole layer 1,29660,17248,12412,0,17139,109,389,4709,7314
Frontal pole layer 2/3,15156,10494,4662,5398,5040,56,49,1177,3436
Somatomotor areas,3151042,1456531,1694511,1235407,206861,14263,238853,772017,683641
Primary motor area,1678895,781906,896989,682773,91989,7144,148080,447230,301679
Primary motor area Layer 1,139930,76812,63118,0,76510,302,20814,14215,28089
Primary motor area Layer 2/3,580466,301267,279199,294479,4789,1999,59367,113467,106365
Primary motor area Layer 5,550414,239044,311370,230893,4775,3376,45970,170189,95211
Primary motor area Layer 6a,358637,145611,213026,140002,4281,1328,19873,127944,65209
Primary motor area Layer 6b,49448,19172,30276,17399,1634,139,2056,21415,6805
Secondary motor area,1472147,674625,797522,552634,114872,7119,90773,324787,381962
Secondary motor area layer 1,178514,92893,85621,0,92314,579,13784,14704,57133
Secondary motor area layer 2/3,535634,275902,259732,261190,12161,2551,34673,76102,148957
Secondary motor area layer 5,489948,203329,286619,194186,6194,2949,29761,135311,121547
Secondary motor area layer 6a,249290,95780,153510,91960,2844,976,11933,90139,51438
Secondary motor area layer 6b,18761,6721,12040,5298,1359,64,622,8531,2887
Somatosensory areas,6039777,2899538,3140239,2631638,251181,16719,364147,1440947,1335145
Primary somatosensory area,5084460,2408059,2676401,2186231,207390,14438,334842,1230033,1111526
Primary somatosensory area layer 1,28111,14752,13359,0,14726,26,2512,1429,9418
Primary somatosensory area layer 2/3,121658,63609,58049,62558,840,211,8338,17068,32643
Primary somatosensory area layer 4,42423,20247,22176,19881,270,96,3172,10803,8201
Primary somatosensory area layer 5,136646,61345,75301,59747,1006,592,11487,45591,18223
Primary somatosensory area layer 6a,95599,43827,51772,42478,1028,321,6801,35836,9135
Primary somatosensory area layer 6b,12400,4835,7565,4703,94,38,526,6208,831
Primary somatosensory area nose,199832,94556,105276,84058,10022,476,10259,44822,50195
Primary somatosensory area nose layer 1,11717,6635,5082,0,6625,10,583,215,4284
Primary somatosensory area nose layer 2/3,58782,30141,28641,29625,440,76,2796,6194,19651
Primary somatosensory area nose layer 4,27636,12258,15378,11955,246,57,1346,5762,8270
Primary somatosensory area nose layer 5,50774,21743,29031,20882,687,174,2837,12779,13415
Primary somatosensory area nose layer 6a,42462,19962,22500,18920,917,125,2321,15680,4499
Primary somatosensory area nose layer 6b,8461,3817,4644,2676,1107,34,376,4192,76
Primary somatosensory area barrel field,1789579,844131,945448,776388,63715,4028,92216,396343,456889
Primary somatosensory area barrel field layer 1,96194,48379,47815,0,48285,94,4376,2856,40583
Primary somatosensory area barrel field layer 2/3,523254,252136,271118,247686,3789,661,25537,69757,175824
Primary somatosensory area barrel field layer 4,292925,139151,153774,136314,2342,495,14683,62219,76872
Primary somatosensory area barrel field layer 5,422764,189147,233617,182875,4769,1503,24789,109405,99423
Primary somatosensory area barrel field layer 6a,394736,189566,205170,185450,2975,1141,20146,125094,59930
